screen_name,user_name,status_id,url,title,published_date,geoLocation
"travislcar","Travis Carlson","1053131804759220224","Not Available","RT @staceyabrams: But beyond me, beyond @SarahRiggsAmico, beyond any candidate or party, this election is about US. It is about who we inte…","Thu Oct 18 23:52:43 EDT 2018",
"JamalHoltz","Jamal Holtz","1053131806483103744","Not Available","RT @staceyabrams: We're locked in the closest governor's race in the U.S.

The stakes could not be higher. The choice we face could not be…","Thu Oct 18 23:52:43 EDT 2018",
"Dcybele","Vote November 6th","1053131820538114050","Not Available","RT @staceyabrams: #TeamAbrams is thrilled to march in the #AtlantaPride Parade for the 2nd year in a row – and we’d love for you to march w…","Thu Oct 18 23:52:46 EDT 2018",
"TuskBot","TuskBot - the Walrus of Justice","1053131823096700928","Not Available","RT @JLMMG: @RockTheVote 2018 and Republicans wanna go back to the 60's #VoterSuppression suppression, #Gerrymandering #purging voters @Gwin…","Thu Oct 18 23:52:47 EDT 2018",
"BenPlaysPiano","aaaaaaaaaaaaaaaaaaaaaaaaaaaaaa","1053131840721223680","Not Available","Fucking Christ why I am I always so ashamed of Georgia","Thu Oct 18 23:52:51 EDT 2018",
"towner_tim","Tim Towner","1053131846291206144","Not Available","@meh130 @KurtSchlichter @staceyabrams @PolitiFactGA Oh no y’all can get by on the crops they grow at Six Flags. She’s ignorant.","Thu Oct 18 23:52:53 EDT 2018",
"skittlesonboard","Sharcastic Wisdom","1053131864427372544","Not Available","RT @mztru28: My mother is 70 years old and has lived in Spalding County her entire life. She said she doesn’t remember any candidate for Go…","Thu Oct 18 23:52:57 EDT 2018",
"Mightymouth5413","Julie","1053131881779208197","Not Available","RT @meh130: .@staceyabrams: "People shouldn’t have to go into agriculture or hospitality in Georgia to make a living in Georgia."
@PolitiFa…","Thu Oct 18 23:53:01 EDT 2018",
"LovToRideMyTrek","WWG1WGA; Trump2020; 1/1024 Russian 🇺🇸🇺🇸","1053131903174410241","Not Available","RT @bmayfieldlive: @BrianKempGA @LovToRideMyTrek Lol the democrats need to be shipped to china so they can see how well it works..","Thu Oct 18 23:53:06 EDT 2018",
"sarahcpr","Vote November 6th","1053131918487834630","Not Available","RT @staceyabrams: We're locked in the closest governor's race in the U.S.

The stakes could not be higher. The choice we face could not be…","Thu Oct 18 23:53:10 EDT 2018",
