screen_name,user_name,status_id,url,title,published_date,geoLocation
"CathyTX","CathyTX","1053465761056985088","Not Available","Shame on Al Jaeger Sec of State disenfranchising Native Americans from voting. @BrianKempGA disenfranchising blacks from voting!! Trump lost popular vote..still lying there’s mass voter fraud! @AC360 @SenatorHeitkamp @staceyabrams @DNC  @DrewGriffinCNN https://t.co/MZPk72nfmT","Fri Oct 19 21:59:44 EDT 2018",
"elenaparent","Elena Parent","1053465764991324160","Not Available","“Those polls aren’t counting on you. They aren’t counting on the people who show up at noon in Dalton for Democratic candidates” ⁦@staceyabrams⁩ on the stump #gapol https://t.co/yD4wHSpfpJ","Fri Oct 19 21:59:45 EDT 2018",
"tedra_ulmer","Tedra Ulmer","1053465769328209920","Not Available","If you saw that terribly racist video from #BrianKemp and it made you mad...

Go spend that anger on something useful: the campaign of @staceyabrams ❤️✊🏾 https://t.co/Le47kfVfnF","Fri Oct 19 21:59:46 EDT 2018",
"jmo201","JMO","1053465824080642048","Not Available","THREAD: @StaceyAbrams' race is the closest governor's race in the country. Just a few more canvassing shifts or a few more doors knocked could make the difference!

Sign up for a "Weekend of Action" volunteer shift and let's get it done for Georgia! https://t.co/qXHy7dFGqS #gapol https://t.co/rnlHOxUigd","Fri Oct 19 21:59:59 EDT 2018",
"LopezRolando7","Rolando Lopez","1053465843722579968","Not Available","I am PERSONALLY going back to Georgia before Nov. 6th to get out every additional vote I can for @staceyabrams, @SarahRiggsAmico, & the @GeorgiaDemocrat ticket.  PLEASE donate, knock doors & make phone calls.  History has its eyes on us!  #TeamAbrams #WeRiseTogether https://t.co/XXeJms70f6","Fri Oct 19 22:00:04 EDT 2018",
"TheHelenChapel","JaneTheBrane","1053465907509506048","Not Available","We must fight this and fight it to the bitter end!  We cannot let Republicans destroy our democracy time and time again! When is enough?! @staceyabrams @AndrewGillum @SenatorHeitkamp @BetoORourke @algore @HillaryClinton @ACampaNajjar @Nate_McMurray @clairecmc @LupeValdez https://t.co/t3Ovhhenqr","Fri Oct 19 22:00:19 EDT 2018",
"lvingfree5678","AlohaDR","1053465932020895744","Not Available","As part of our work to support the leadership of Black women, MoveOn members have proudly contributed more than $1 million to Black women running for office. @staceyabrams, @LUnderwood630, @LindaForNC, @IlhanMN, @LucyWins2018 https://t.co/nIRJnGCyKC","Fri Oct 19 22:00:25 EDT 2018",
"Monroesmydog","MoogaLoo22 🏳️‍🌈","1053465934294327302","Not Available","@Tweetsbian @staceyabrams What song?","Fri Oct 19 22:00:25 EDT 2018",
"DavidABarclay","David A Barclay","1053465950908006400","Not Available","@MargeryAPW @BrianKempGA @staceyabrams Yea the blue option is such a radical choice. Seeking to make Georgia follow Sharia laws! https://t.co/E85XRAG225","Fri Oct 19 22:00:29 EDT 2018",
"DeniseOBrienRN","Denise O'Brien","1053465955207143425","Not Available","The choice is clear. We need @staceyabrams as governor. We need to send a loud resounding message to Washington, to the country, to the world. Please #Vote, do it early, before Nov. 6th if you can. Too much is at stake to stay home this year. 

Let’s make history. 
#TeamAbrams https://t.co/jqcZRZeYBZ","Fri Oct 19 22:00:30 EDT 2018",
