screen_name,user_name,status_id,url,title,published_date,geoLocation
"TBamaslamma","The_Real_Bamaslamma","1053720074496937991","Not Available","@Louiseknees444 @ChrisJZullo @realDonaldTrump @staceyabrams Yep...that’s the typical response from the Dems and Libs when a point is made and they don’t have a leg to stand on in the argument...I’M A BOT!!! https://t.co/6emxJvbOpn","Sat Oct 20 14:50:17 EDT 2018",
"laurenxprecious","virna · 4 days","1053720084038979584","Not Available","@LaurenJauregui @realDonaldTrump @staceyabrams adoro o esmurro","Sat Oct 20 14:50:19 EDT 2018",
"lolosunicorn_","ems // EXPECTATIONS 🔮✨","1053720102292652032","Not Available","@realDonaldTrump Are you talking about @staceyabrams ???? Cause you seem to be misinformed..as usual... https://t.co/Xm4e3NivD8","Sat Oct 20 14:50:24 EDT 2018",
"quenchmyheart","Jennifer LeMay","1053720102137413632","Not Available","If success is suppressing eligible voters, leaking our Social Security numbers, and pointing a shotgun at a child on TV, I'll pass.

I’ll take Medicaid expansion, excellent public schools, and good-paying jobs. Donate if you agree: https://t.co/DBH2UDaqOK #GAGov #gapol https://t.co/EP5GahmQhZ","Sat Oct 20 14:50:24 EDT 2018",
"LolaVicious","sexandthekitty","1053720121900961795","Not Available","G     E     O     R     G     I     A  
G     E     O     R     G     I     A 
G     E     O     R     G     I     A 
G     E     O     R     G     I     A 
G     E     O     R     G     I     A  
G     E     O     R     G     I     A 

🙏🏾👉🏾PLEASE VOTE EARLY👈🏾🙏🏾 https://t.co/IERJsGRmCy","Sat Oct 20 14:50:28 EDT 2018",
"WayneHu92641633","Wayne / Attention America","1053720157288198144","Not Available","@knittinglinda @JoanBigMoSpicer @KassandraSeven @SenatorMenendez @JoshuaWelle @AndyKimNJ @MikieSherrill @Malinowski @VanDrewForNJ @McCaskill4MO @staceyabrams @RosenforNevada @katieporteroc @BetoORourke @AndrewGillum @RepSinema @SenatorHeitkamp #Retweet #TheResistance #FBR #Resistance #GeeksResist #FlipItBlue #VoteBlue #GoBlue #BlueWave #BlueWave2018 #GoBlue #Resist #NotMyPresident #TrumpTreason #TreasonousTrump #bringithome #NeverAgain https://t.co/vFUKXMHrwG","Sat Oct 20 14:50:37 EDT 2018",
"ilymalabella","jmr","1053720161520361473","Not Available","To win in 17 days, I need you to vote early AND volunteer hard.

The stakes are too high to sit on the sidelines this year. If we want more for our state, we must do more for ourselves and for our democracy.

Sign up for a volunteer shift this weekend: https://t.co/v8xF0ET48W","Sat Oct 20 14:50:38 EDT 2018",
"newyorknewart","newyorknewart","1053720169435013120","Not Available","If you vote early, you’ll have time to get somebody else out to vote. 

And somebody else. And somebody else. Until this "toss up" race becomes our victory.

To win in 17 days, we need you. Sign up for a volunteer shift this weekend and let's get it done: https://t.co/v8xF0ET48W","Sat Oct 20 14:50:40 EDT 2018",
"Miss__Kiah","Kiah","1053720171678982144","Not Available","To win in 17 days, I need you to vote early AND volunteer hard.

The stakes are too high to sit on the sidelines this year. If we want more for our state, we must do more for ourselves and for our democracy.

Sign up for a volunteer shift this weekend: https://t.co/v8xF0ET48W","Sat Oct 20 14:50:40 EDT 2018",
"oeljames","👾","1053720182571511808","Not Available","Ing roasted","Sat Oct 20 14:50:43 EDT 2018",
"marcy5150","Marcy Petty","1053720183238483968","Not Available","@expatfrommass @realDonaldTrump @staceyabrams I take it that you hate this state. Please tell me you have seen all the videos of her wrong doings.","Sat Oct 20 14:50:43 EDT 2018",
"dieforIauren","elleᴸᴹᴶ","1053720202804973568","Not Available","@LaurenJauregui @realDonaldTrump @staceyabrams drag his stupid ass","Sat Oct 20 14:50:48 EDT 2018",
"DeniseOBrienRN","Denise O'Brien","1053720206172975104","Not Available","If success is suppressing eligible voters, leaking our Social Security numbers, and pointing a shotgun at a child on TV, I'll pass.

I’ll take Medicaid expansion, excellent public schools, and good-paying jobs. Donate if you agree: https://t.co/DBH2UDaqOK #GAGov #gapol https://t.co/EP5GahmQhZ","Sat Oct 20 14:50:48 EDT 2018",
"66taoist","Taoist","1053720224938278912","Not Available","@BrianKempGA I find @brianKempGA outrageous! His recent fix with the voter suppression should be enough to force him to resign! But @GOP continues to go unscathed for their attacks on voters. Georgia, send him a msg and vote for @staceyabrams for Governor!!","Sat Oct 20 14:50:53 EDT 2018",
"Emily989C","Emily Chacon","1053720225819049984","Not Available","@realDonaldTrump Are you talking about @staceyabrams ???? Cause you seem to be misinformed..as usual... https://t.co/Xm4e3NivD8","Sat Oct 20 14:50:53 EDT 2018",
"yobebami","Yobebami","1053720245616164864","Not Available","@LaurenJauregui @realDonaldTrump @staceyabrams Let’s be honest! When is he not misinformed?!","Sat Oct 20 14:50:58 EDT 2018",
"Janeway12004","Linda Janeway","1053720246463401985","Not Available","To win in 17 days, I need you to vote early AND volunteer hard.

The stakes are too high to sit on the sidelines this year. If we want more for our state, we must do more for ourselves and for our democracy.

Sign up for a volunteer shift this weekend: https://t.co/v8xF0ET48W","Sat Oct 20 14:50:58 EDT 2018",
