screen_name,user_name,status_id,url,title,published_date,geoLocation
"abby_b_fit","Abby Buchanan","1054065844328775680","Not Available","@ajplus @joncoopertweets @BrianKempGA  is working from @GOP playbook, whatever it takes to win, if you have to steal it, do it!🤣","null","Sun Oct 21 13:44:15 EDT 2018",
"TRitenourShirer","TerriS","1054065884086632450","Not Available","@aVocalAmerican @Barbara_Ann_M @juliebusbee @BrianKempGA @staceyabrams I truly doubt it. I hope you like paying much higher taxes if she is elected.","null","Sun Oct 21 13:44:25 EDT 2018",
"realenginerd","Oscar Goh","1054065889174343681","Not Available","We literally need to bring in @UN observers for some of our states!  Kansas, North Dakota - and Georgia is a full on banana republic thanks to @BrianKempGA and Gov @NathanDeal is letting it happen!","null","Sun Oct 21 13:44:26 EDT 2018",
"Paper8oy","We Deliver","1054065991192330240","Not Available","@BrianKempGA @torithompson_ @kennesawstate And thank you to Gwinnett Republicans causing havoc in our mixed race poll areas.","null","Sun Oct 21 13:44:50 EDT 2018",
"headingcho","Tunjae","1054066003150172160","Not Available","We literally need to bring in @UN observers for some of our states!  Kansas, North Dakota - and Georgia is a full on banana republic thanks to @BrianKempGA and Gov @NathanDeal is letting it happen!","null","Sun Oct 21 13:44:53 EDT 2018",
"GarryDC2","Garry Cook","1054066048406863873","Not Available","@Amy_Siskind @BrianKempGA Georgia has seceded from the Union again. 🗳","null","Sun Oct 21 13:45:04 EDT 2018",
"bfs465","Dr Lou","1054066055214256128","Not Available","@resist_detroit1 @JohnJHarwood @BrianKempGA What @realDonaldTrump; #GOP are doing is desperately trying to redirect conversation to, by definition, non-existent voter fraud. 

I am providing a sweep with voter fraud as a much broader category. #votersupression is rampant & engaged through anti-America GOP #electoralfraud","null","Sun Oct 21 13:45:05 EDT 2018",
"msdee1672","Doretha Davenport","1054066059886710784","Not Available","However you can, wherever you are, go help @staceyabrams right now.
Donate, volunteer or both. 

Go VOTE in #Georgia anyway. 

They mean to discourage voters. It's unAmerican. We need to elect Democrats & get rid of "use it or lose it" laws. #VoteBlue #VoterSuppression #Georgia https://t.co/Co2U8EJwQD","null","Sun Oct 21 13:45:06 EDT 2018",
"green3579","Firehorse","1054066115947581441","Not Available","@BrianKempGA @torithompson_ @kennesawstate #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat","null","Sun Oct 21 13:45:20 EDT 2018",
"green3579","Firehorse","1054066159543189504","Not Available","@BrianKempGA @torithompson_ @kennesawstate https://t.co/0R1SyciMtw","null","Sun Oct 21 13:45:30 EDT 2018",
"CooperS58908827","CooperS","1054066176563789824","Not Available","You’re unapologetically CORRUPT. Voter registrations locked in drawers and voter purges is what you’re banking on to secure victory for you at the ballot box. You can’t win if you don’t cheat. #BrianKempIsCorrupt #CorruptGovernment #CorruptionMustFall #VoteBlueToSaveAmerica https://t.co/x5GiTYbgdQ","null","Sun Oct 21 13:45:34 EDT 2018",
"green3579","Firehorse","1054066181299044354","Not Available","@BrianKempGA @AustinScott4GA #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat","null","Sun Oct 21 13:45:35 EDT 2018",
"green3579","Firehorse","1054066215222571008","Not Available","@BrianKempGA @AustinScott4GA https://t.co/pekj42Q1BL","null","Sun Oct 21 13:45:43 EDT 2018",
"Nanaleenie1","Nanaleenie","1054066249276289024","Not Available","We literally need to bring in @UN observers for some of our states!  Kansas, North Dakota - and Georgia is a full on banana republic thanks to @BrianKempGA and Gov @NathanDeal is letting it happen!","null","Sun Oct 21 13:45:52 EDT 2018",
"green3579","Firehorse","1054066253403381761","Not Available","@BrianKempGA @brian_harris89 @dolezal4senate #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat","null","Sun Oct 21 13:45:53 EDT 2018",
"StaceyKinsey12","StaceyKinsey","1054066265499799553","Not Available","We literally need to bring in @UN observers for some of our states!  Kansas, North Dakota - and Georgia is a full on banana republic thanks to @BrianKempGA and Gov @NathanDeal is letting it happen!","null","Sun Oct 21 13:45:55 EDT 2018",
"MillerScott4","Green Banana","1054066276530671617","https://t.co/iEx5fLbL5w",".@guardian speaks with @Greg_Palast about @BrianKempGA’s egregious voter suppression in Georgia. 
https://t.co/iEx5fLbL5w","null","Sun Oct 21 13:45:58 EDT 2018",
"green3579","Firehorse","1054066280490131456","Not Available","@BrianKempGA @brian_harris89 @dolezal4senate https://t.co/tEuKy2DSXj","null","Sun Oct 21 13:45:59 EDT 2018",
"A_J_I_1","AJI","1054066288190992384","Not Available","@b140tweet @BrianKempGA Presuming your profile quote is a truthful summary, I suspect you either intended to respond to Brian Kemp directly or you failed to comprehend my post. #VoteBlue #VoteAbrams","null","Sun Oct 21 13:46:01 EDT 2018",
"green3579","Firehorse","1054066332273074186","Not Available","@brian_harris89 @dolezal4senate @BrianKempGA #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat","null","Sun Oct 21 13:46:11 EDT 2018",
"marcslate8","Marcus Slate","1054066367622565888","Not Available","@MaddowBlog Native Americans “are US Citizens” but @GOP required a street address if they want to vote in ND🤔 @BrianKempGA suppresses 50K 🇺🇸to vote & demanded black voters off a bus to prevent them from voting! @staceyabrams @TheDemocrats what happened to 🇺🇸? @realDonaldTrump shame on you!","null","Sun Oct 21 13:46:20 EDT 2018",
"green3579","Firehorse","1054066374362812416","Not Available","@BrianKempGA #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat","null","Sun Oct 21 13:46:21 EDT 2018",
"green3579","Firehorse","1054066399407071232","Not Available","@BrianKempGA https://t.co/v6utlODyEK","null","Sun Oct 21 13:46:27 EDT 2018",
